#	Temperatur 1 (°C)	Temperatur 2 (°C)	Temperatur 5 (°C)	Temperatur 6 (°C)
329	35.05	35.58	36.52	37.24
330	35.04	35.80	36.56	37.53
331	35.04	36.02	36.64	37.80
332	35.06	36.23	36.72	38.06
333	35.08	36.45	36.81	38.30
334	35.12	36.66	36.92	38.52
335	35.17	36.86	37.03	38.74
336	35.23	37.05	37.15	38.94
337	35.29	37.23	37.26	39.13
338	35.35	37.41	37.39	39.30
339	35.42	37.58	37.52	39.48
340	35.50	37.74	37.64	39.64
341	35.57	37.89	37.77	39.80
342	35.64	38.03	37.89	39.95
343	35.72	38.16	38.02	40.09
344	35.80	38.30	38.14	40.23
345	35.88	38.42	38.27	40.35
346	35.96	38.47	38.38	40.30
347	36.04	38.40	38.48	40.12
348	36.11	38.27	38.54	39.87
349	36.17	38.10	38.55	39.61
350	36.22	37.92	38.53	39.35
351	36.25	37.72	38.50	39.11
352	36.27	37.53	38.45	38.89
353	36.27	37.35	38.38	38.67
354	36.26	37.17	38.31	38.48
355	36.24	37.00	38.23	38.29
356	36.22	36.84	38.14	38.12
357	36.19	36.68	38.05	37.95
358	36.15	36.54	37.95	37.80
359	36.11	36.40	37.86	37.65
360	36.07	36.27	37.76	37.51
361	36.03	36.15	37.66	37.38
362	35.98	36.03	37.56	37.26
363	35.93	35.92	37.46	37.14
364	35.88	35.82	37.37	37.02
365	35.83	35.73	37.26	36.94
366	35.78	35.72	37.17	37.03
367	35.73	35.82	37.11	37.26
368	35.69	35.98	37.09	37.55
369	35.65	36.18	37.11	37.84
370	35.64	36.39	37.15	38.13
371	35.64	36.61	37.22	38.41
372	35.65	36.84	37.31	38.66
373	35.68	37.05	37.40	38.90
374	35.71	37.25	37.51	39.13
375	35.76	37.46	37.62	39.34
376	35.82	37.65	37.74	39.54
377	35.87	37.83	37.85	39.73
378	35.94	38.00	37.98	39.91
379	36.01	38.17	38.10	40.08
380	36.08	38.33	38.22	40.24
381	36.16	38.47	38.36	40.39
382	36.23	38.62	38.48	40.54
383	36.31	38.76	38.60	40.69
384	36.39	38.89	38.73	40.82
385	36.47	39.00	38.85	40.94
386	36.55	39.06	38.97	40.91
387	36.62	39.00	39.07	40.72
388	36.69	38.88	39.12	40.48
389	36.76	38.71	39.14	40.22
390	36.80	38.52	39.12	39.96
391	36.83	38.32	39.09	39.72
392	36.84	38.13	39.03	39.49
393	36.85	37.94	38.97	39.27
394	36.85	37.76	38.89	39.07
395	36.83	37.59	38.81	38.88
396	36.80	37.43	38.72	38.71
397	36.77	37.28	38.63	38.54
398	36.73	37.13	38.53	38.39
399	36.69	36.99	38.43	38.24
400	36.64	36.85	38.34	38.10
401	36.60	36.73	38.24	37.96
402	36.55	36.61	38.14	37.84
403	36.50	36.51	38.03	37.72
404	36.45	36.40	37.94	37.60
